scheme_link,details_text,eligibility_text,benefit_text,document,span_text
https://www.myscheme.gov.in/schemes/icdpsva-srgu,"The scheme ""Support for Value Addition - Support to R&G units"" is a Sub-Component of the Scheme ""Integrated Coffee Development Project"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry. This scheme aims to enhance the quality of coffee products and achieve value addition through the introduction of improved technologies in roasting, grinding, and packaging which will result in boosting domestic coffee consumption and entrepreneurship in the coffee sector, especially in the non-traditional areas.","Roasting Units, Gourmet roasting units 1Kg to <10Kg/batch, and small roasting units with a capacity of less than 25 kg capacity are eligible for subsidy support of 40% of the machinery cost with a ceiling of ₹10,00,000.For the SHGs, women entrepreneurs, SC/ ST, Minorities, and differently-abled beneficiaries, subsidy support is @50% of the machinery cost with a ceiling of ₹10,00,000.Support for gourmet roaster units would enable the roasting of specialized blends in smaller quantities. This may also help to encourage a large number of small players/ new entrepreneurs to take up this venture in non-traditional coffee-drinking areas.﻿Disbursement of subsidyThe subsidy shall be released to the applicant’s bank accountthrough PFMSin cases where the application is complete in all respects and only after approval of the post-installation inspection report submitted by the Coffee Quality Division, Coffee Board, Bengaluru.","BenefitsRoasting Units, Gourmet roasting units 1Kg to <10Kg/batch, and small roasting units with a capacity of less than 25 kg capacity are eligible for subsidy support of 40% of the machinery cost with a ceiling of ₹10,00,000.For the SHGs, women entrepreneurs, SC/ ST, Minorities, and differently-abled beneficiaries, subsidy support is @50% of the machinery cost with a ceiling of ₹10,00,000.Support for gourmet roaster units would enable the roasting of specialized blends in smaller quantities. This may also help to encourage a large number of small players/ new entrepreneurs to take up this venture in non-traditional coffee-drinking areas.﻿Disbursement of subsidyThe subsidy shall be released to the applicant’s bank account through PFMS in cases where the application is complete in all respects and only after approval of the post-installation inspection report submitted by the Coffee Quality Division, Coffee Board, Bengaluru.","Documents RequiredCopy of the blueprint/layout plan for the proposed Research and Grant unit/facility.Copy of the Photo identity like Aadhaar or Ration card or Permanent Account Number (PAN) card or Passport or Driving License or Election Photo Identity Card, etc.Original copy of Tax Invoice / Cash Bill issued by the supplier.Attested copies of Bills in support of freight/installation/commissioning charges and insurance (if included in the total cost).Copy of warranty certificate.Notarized Copy of the lease agreement/rent agreement/ownership document in respect of the shop/building premises.Copy of license from municipal authorities.Copy of the Bank passbook of the applicant containing the information such as: Name of the Bank and Branch address, Account Holder Name, Account No, Indian Financial System Code (IFSC) code.Photographs of the new machinery installed for which subsidy is claimed.In the case of Scheduled Caste (SC) /Scheduled Tribe (ST) and differently-abled category beneficiaries applying individually, caste/community/disability certificate (with a disability of 40% and above) issued by the competent authority.",Support for Value Addition - Support to R&G units
https://www.myscheme.gov.in/schemes/anby,"Atma Nirbhar Bagwani Yojana is an umbrella scheme wherein all the schemes are subsumed under a bank linked credit subsidy scheme which will have a time bound implementation and participation from various stakeholders – Government, Bank, Project Consultants and Progressive Farmers. The beneficiaries under the scheme will be eligible for 45% subsidy from Government of Arunachal Pradesh, 45% bank finance and 10% beneficiaries contribution. The beneficiary will have to provide a collateral security in the shape of land/property or acceptable guarantee for loan amount exceeding 1.6 Lakhs in case of individual and 10 lakhs for SHGs/FPOs. Under this scheme, the following components are included for availing of bank loan:","Atmanirbhar Bagwani Yojna is basically meant for the cultivation of fruits like apples, walnut, orange, kiwi, and persimmon.﻿The line of credit will be provided by the State Bank Of India, Arunachal Pradesh Rural Bank, and Arunachal Pradesh Cooperative Apex Bank.45 percent will be given by the government subsidy, 45 percent as bank loan and 10 percent will be contributed by the farmer.There is no collateral for loans up to Rs 1.60 lakh.For SHGs, no collateral is needed up to Rs 10 lakhs.","Benefits    Atmanirbhar Bagwani Yojna is basically meant for the cultivation of fruits like apples, walnut, orange, kiwi, and persimmon. ﻿    The line of credit will be provided by the State Bank Of India, Arunachal Pradesh Rural Bank, and Arunachal Pradesh Cooperative Apex Bank.     45 percent will be given by the government subsidy, 45 percent as bank loan and 10 percent will be contributed by the farmer.    There is no collateral for loans up to Rs 1.60 lakh.    For SHGs, no collateral is needed up to Rs 10 lakhs.",Documents Required﻿The people under Atma nirbhar Bagwani Yojana will be able to take the benefit of the loan that is collateral-free. The Chief Minister said that no land document such as Land Possession Certificate will be taken to provide the loan. Only Aadhaar Card.Voter Card.Residential Certificate.A valid Bank Account,Atma Nirbhar Bagwani Yojana
https://www.myscheme.gov.in/schemes/ncrfs,"“Natural Calamity Relief to Fishermen of State” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, financial assistance is provided to the active fishermen who contribute to the Fishermen Corpus Relief Fund, whose fishing vessels are damaged or lost due to natural calamities. The applications are accepted only in offline mode.","Death/DisabilityLoss of Life/Total Disability While Fishing in Sea/River:₹5,00,000 in Case of Loss of Life/Total Disability on Production of the Required Documents.﻿Loss/Damage to Fishing CanoePartial Damage of Fishing Canoe:Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹1,00,000.Total Loss/Damage of Canoe With OBM:Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹2,00,000.﻿Loss/Damage to Fishing Vessel1 to 4-cylinder Fishing Vessel:Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹7,00,000.6 to 8-cylinder Fishing Vessel:Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹10,00,000.﻿Loss/Damage to Fishing NetsGill Nets:Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹50,000/-Rampon Nets:Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹1,00,000/-Trawl Net:Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹50,000/-Purseine Net:Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹5,00,000/-","BenefitsDeath/DisabilityLoss of Life/Total Disability While Fishing in Sea/River: ₹5,00,000 in Case of Loss of Life/Total Disability on Production of the Required Documents.﻿Loss/Damage to Fishing CanoePartial Damage of Fishing Canoe: Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹1,00,000.Total Loss/Damage of Canoe With OBM: Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹2,00,000.﻿Loss/Damage to Fishing Vessel1 to 4-cylinder Fishing Vessel: Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹7,00,000.6 to 8-cylinder Fishing Vessel: Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹10,00,000.﻿Loss/Damage to Fishing NetsGill Nets: Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹50,000/-Rampon Nets: Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹1,00,000/-Trawl Net: Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹50,000/-Purseine Net: Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹5,00,000/-",Documents Required1) Photograph of the Applicant 2) Copy of the Vessel Registration Certificate3) Copy of the Updated Fishing License Certificate4) Copy of the Updated Fishing Net Licence 5) Copy of Updated Fishing Netbook.6) Copy of Biometric Card/temporary ID Card7) Inspection Report of Registered Fishing Vessel/ OBM/ Net in Original.8) Copy of the Bank Passbook Along With the Mandate Form9) Statement of Contribution for Fishermen Corpus Fund by Applicant10) Post-mortem Report/ Missing Report/ Death Certificate11) Panchanama Report12) FIR Report13) Copy of the Medical Certificate14) Copy of Loss Assessment Report From Authorized Marine Surveyor15) Copy of the Weather Report From the Meteorological Department on the Day of Incident Occurred.NOTE: The missing report/death certificate/post-mortem report or police report should state that the body of the victim is not traced/found after one year from the date of the incident.,Natural Calamity Relief to Fishermen of State
https://www.myscheme.gov.in/schemes/fapllf,"“Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, financial assistance amounting to ₹50% is provided by the Government to eligible fishermen for the Purchase of Lifejackets and Lifebuoys. The applications are accepted only in offline mode.","The support is extended up to ₹1,000/- per lifejacket and ₹1,500/- per lifebuoy.For Canoe Fitted With OBM: 05 Life Jackets and 01 Lifebuoy.For Mechanised Trawlers Engaged in Trawling Operations: 08 Life Jackets and 02 Lifebuoys.For Mechanised Trawlers Engaged in Purse Seining Operation: 25 Life Jackets and 04 Lifebuoys.","BenefitsThe support is extended up to ₹1,000/- per lifejacket and ₹1,500/- per lifebuoy.For Canoe Fitted With OBM: 05 Life Jackets and 01 Lifebuoy.For Mechanised Trawlers Engaged in Trawling Operations: 08 Life Jackets and 02 Lifebuoys.For Mechanised Trawlers Engaged in Purse Seining Operation: 25 Life Jackets and 04 Lifebuoys.",Documents RequiredUpdated Fishing License Certificate/Fishing Net License ReceiptsVessel Registration CertificateAadhaar CardMandate Form,Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen
https://www.myscheme.gov.in/schemes/cdpnerqucsecoc,"The scheme ""Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification"" is a Sub-Component of the Scheme ""Integrated Coffee Development Project During the Medium Term Framework (MTF) Period: Development Support to Stakeholders"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry. This scheme aims to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets through the production of eco-certified coffees. An allied objective of this scheme is to encourage small growers to form groups/collectives for taking up eco-certification that will facilitate the creation of common facilities in the future.","Scale of SubsidyFor Organic Certification:75% of the certification cost spread over 3 years or the Conversion period, whichever is less during the MTF period.For Other Eco-Certifications:75% of the certification cost for one year during the MTF period.NOTE:This incentive is provided only as backend support for those who obtain certification of their estates. However, in the case of organic certification, the costs incurred towards certification during in-conversion period are also eligible for support.","BenefitsScale of SubsidyFor Organic Certification: 75% of the certification cost spread over 3 years or the Conversion period, whichever is less during the MTF period.For Other Eco-Certifications: 75% of the certification cost for one year during the MTF period.NOTE: This incentive is provided only as backend support for those who obtain certification of their estates. However, in the case of organic certification, the costs incurred towards certification during in-conversion period are also eligible for support.","Documents RequiredApplication in the prescribed format (in duplicate).Certificate of incorporation/registration, memorandum of article of association/society as Grower Collective/SHG/ Cooperative issued by the authority concerned and Complete list/details of members of the organization.Copy of the certificate issued by the Accredited Certification Agency.Original invoice towards the cost of certification.Copy of the Bank Pass Book containing the details of account number, name of the Bank, branch, IFSC code, etc.",Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification
https://www.myscheme.gov.in/schemes/spfrpcvwnmpcn-faascdmf,"The scheme ""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" is a Sub-Component under the Umbrella Scheme ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" by the Department of Fisheries and Fishermen Welfare, Government of Puducherry. The scheme is introduced with the objective of increasing marine fish production by extending subsidies to the fishermen for the procurement of fiber-reinforced plastic vallam with nets.","50% subsidy subject to a maximum of ₹50,000 per unit in case of fibre-reinforced plastic catamaran and marine plywood canoe with nets, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy subject to a maximum of ₹1,00,000 per unit in case of fibre-reinforced plastic vallam with nets, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy subject to a maximum of ₹40,000 per unit in respect of wooden nava with net, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy to a maximum of ₹5,000 per unit for the procurement of inland catamaran with nets (unit cost ₹10,000).*The rate of subsidy may be fixed by the Government from time to time.","Benefits50% subsidy subject to a maximum of ₹50,000 per unit in case of fibre-reinforced plastic catamaran and marine plywood canoe with nets, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy subject to a maximum of ₹1,00,000 per unit in case of fibre-reinforced plastic vallam with nets, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy subject to a maximum of ₹40,000 per unit in respect of wooden nava with net, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy to a maximum of ₹5,000 per unit for the procurement of inland catamaran with nets (unit cost ₹10,000).*The rate of subsidy may be fixed by the Government from time to time.","Documents RequiredPassport Sized Photograph.Aadhaar Card.Election Photo Identity Card (for Proof of Identity).Ration Card (for Proof of Address).Birth Certificate (for Proof of Age).Membership Certificate from the President/Administrator of Fishermen/Fisherwoman Co-operative Society (in the case of fishermen).Document attesting full-time engagement in fishing or fish trade occupation (in the case of Fish Traders).Residence Certificate indicating a continuous period of not less than five years in the Union territory of Puducherry (from Deputy Tahsildar of the Area of Residence).Enrollment certificate as a member of the Fishermen Co-operative Society.Declaration of not being a recipient of Old Age Pension.Declaration of not being employed in Government/Government Undertakings/Fishermen Co-operative Society.Declaration certifying that the applicant has no outstanding dues to the Department/Fishermen Co-operative Societies at the time of application.Proof of Sea Fishing Experience (for male applicants).Proof of Fishing Trade Experience, issued by the Village Panchayat (for female applicants).Loan Sanction Orders/Acceptance for Loan Sanction from the Bank/National Co-operative Development Corporation.","""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"""
https://www.myscheme.gov.in/schemes/fapcnfclt26ffiw,"“Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa” is a scheme by the Department of Fisheries, Government of Goa. The scheme has been introduced to uplift the sizeable community of traditional Fishermen, by providing them financial help in the form of a subsidy on the construction/ purchase of Fishing Craft less than 26 feet for fishing in inland waters of Goa. The applications are accepted only in offline mode.","For General Category50% subsidy, limited to ₹30,000, on a unit cost of ₹60,000 (excluding GST).For SC/ST/Woman Category60% subsidy, limited to ₹36,000, on a unit cost of ₹60,000 (excluding GST).NOTE:The benefits can be availed after every 7 years against the replacement of the existing Canoe.","BenefitsFor General Category50% subsidy, limited to ₹30,000, on a unit cost of ₹60,000 (excluding GST).For SC/ST/Woman Category60% subsidy, limited to ₹36,000, on a unit cost of ₹60,000 (excluding GST).NOTE: The benefits can be availed after every 7 years against the replacement of the existing Canoe.","Documents Required1. Original Invoice towards Purchase/Construction of New Fibre Reinforced Plastic (FRP).2. Vessel Registration Certificate issued by Captain of Ports.3. River Gill Net Registration Certificate and License Certificate issued by the Department of Fisheries.4. Undertaking as per Proforma.5. Copy of Aadhaar (Unique Identification) Card.6. Other Backward Class (OBC) (Kharvi) Certificate or Profession Certificate issued by the Competent Authority, such as Mamlatdar or Chief Officer of the concerned Municipality, or Secretary of the concerned Village Panchayat, duly countersigned by the concerned Block Development Officer (B.D.O).7. Scheduled Tribe (ST)/Scheduled Caste (SC) Certificate (if applicable).8. Mandate Form along with Bank Pass Book.9. Bills from the Authorized Boat Dealer for the construction of the Fishing Canoe.",Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa
https://www.myscheme.gov.in/schemes/indagff,"India-Afghanistan Fellowship Programme started in 2010-11 with 115 fellowships every year for pursuing Master's and Ph.D in Indian Agricultural Universities, to support the agricultural human resource development in Afghanistan through formal education of Afghanistan scientists/faculty and students in India. The programme has been revised to offer 276 fellowships (including backlog) (154, Bachelor's; 61, Master's and 61, Ph.D. programmes) from 2012-13; 277 fellowships (153, Bachelor's; 62, Master's and 62, Ph.D. programmes) in 2013-14 and 61 (Master's) in 2014-15 to pursue degree programmes in Agriculture and allied sciences in identified Indian Agricultural Universities (AUs), from Indian Council of Agricultural Research (ICAR) - Agricultural Universities (AUs) system..","Description of the Benefits*:A fellowship will be awarded to Bachelor's degree programme for four years and for the Master's degree programme for two years @ INR 12,000 per month in each case and at INR 15,000 per month for three years for Ph.D Programme, out of the India-Afghanistan Fund of the Ministry of External Affairs, Govt. of India. Any change in the Fellowship amount will be informed to the candidates.All expenditures towards tuition fee, hostel fee, mess, medical, contingency and travel within the country etc. during the course will be borne by the student utilizing the consolidated fellowship amount. However, a provision of a research contingency grant of INR 6,000 and P INR 10,000 per year for M.Sc. and Ph.D. candidates respectively and group insurance are under consideration.Annual charges of bench fee (US $2000 per candidate per year) as per SAARC countries shall be payable to the Indian AUs, and will be covered under the India-Afghanistan Fund.The fee structure for fellows will be as per the norms of the University.There is no provision to change the University, once admission is granted. However, the candidate can show his/her preferences at the time of submission of the Application form; the Screening Committee may consider the request, depending upon the availability of a seat in the respective University.﻿","BenefitsDescription of the Benefits*: A fellowship will be awarded to Bachelor's degree programme for four years and for the Master's degree programme for two years @ INR 12,000 per month in each case and at INR 15,000 per month for three years for Ph.D Programme, out of the India-Afghanistan Fund of the Ministry of External Affairs, Govt. of India. Any change in the Fellowship amount will be informed to the candidates.All expenditures towards tuition fee, hostel fee, mess, medical, contingency and travel within the country etc. during the course will be borne by the student utilizing the consolidated fellowship amount. However, a provision of a research contingency grant of INR 6,000 and P INR 10,000 per year for M.Sc. and Ph.D. candidates respectively and group insurance are under consideration.Annual charges of bench fee (US $2000 per candidate per year) as per SAARC countries shall be payable to the Indian AUs, and will be covered under the India-Afghanistan Fund. The fee structure for fellows will be as per the norms of the University.There is no provision to change the University, once admission is granted. However, the candidate can show his/her preferences at the time of submission of the Application form; the Screening Committee may consider the request, depending upon the availability of a seat in the respective University.﻿",Documents RequiredThe fellows who are awarded fellowship should bring with them all documents relating to their qualifications in original for verification by the respective College/University at the time of admission. ﻿Many Indian AUs require that these original documents be deposited with them which will be returned to the candidate at the time of departure after completion of the COUrSe.,India Afghanistan Fellowship
https://www.myscheme.gov.in/schemes/sspftws,Not Found,Not Found,"BenefitsThe beneficiary will be given maximum ₹2000 (direct in bank account) stipend for six days training. (Considering ₹300/- per day, ₹1800/- for 6 days as daily allowance and ₹200/- as to & fro transport fare with the maximum total stipend ₹2000/-)Beneficiary will be given poultry training certificate after completion of training.","Documents RequiredIdentity proof i.e. Aadhaar Card, Voter ID CardIncome Proof CertificateBelow Poverty Line Card (If applicable)Residence proofCaste CertificateDisability Certificate from Competent Authority (only for PWDs) (if applicable)Barcoded Ration Card (if applicable)Savings Account Bank Passbook or Cancelled Check (if applicable)﻿",Stipend Scheme For Poultry Farming Training For Weaker Section
https://www.myscheme.gov.in/schemes/dsctaecc,"The scheme ""Development Support for Coffee in Traditional Areas: Eco-certification of Coffee"" is a Sub-Component of the Scheme ""Integrated Coffee Development Project During the Medium Term Framework (MTF) Period: Development Support to Stakeholders"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry. The objective of this scheme is to encourage coffee growers to access high-value specialty markets through production of eco-certified coffees so as to realize higher returns by adhering to a set of standards which help in communication of quality, traceability, social, environmental and financial conditions surrounding the production of coffee.","Extent of Support/ SubsidyCertification Support:50% of the certification cost, subject to a maximum of ₹50,000 (Rupees 50,000) per individual grower/grower groups. In the case of Organic certification, spread over a period of 3 years or the conversion period, whichever is less; in the case of other certificates, one year, during the Mission for Integrated Development of Horticulture (MIDH) period.Additional Support for SC/ST Community:Individual coffee growers belonging to the Scheduled Caste/Scheduled Tribe (SC/ST) community with a coffee holding size of up to 4.00 hectares are eligible for an additional 10% of the certification cost, subject to a maximum of ₹55,000 (Rupees 55,000) per grower during the MIDH period.","BenefitsExtent of Support/ SubsidyCertification Support: 50% of the certification cost, subject to a maximum of ₹50,000 (Rupees 50,000) per individual grower/grower groups. In the case of Organic certification, spread over a period of 3 years or the conversion period, whichever is less; in the case of other certificates, one year, during the Mission for Integrated Development of Horticulture (MIDH) period.Additional Support for SC/ST Community: Individual coffee growers belonging to the Scheduled Caste/Scheduled Tribe (SC/ST) community with a coffee holding size of up to 4.00 hectares are eligible for an additional 10% of the certification cost, subject to a maximum of ₹55,000 (Rupees 55,000) per grower during the MIDH period.","Documents RequiredFor Claiming Subsidy﻿ApplicationApplication in the prescribed format (in duplicate).Proof of Identity and RegistrationProof of identity of the grower/registration certificate in the case of the growers' group.Certification DocumentsCopy of the certificate issued by the accredited Certification Agency.Land Ownership DocumentsAny of the following:Copy of Patta/Khatha Extract along with Record of Rights (RTC) for all Survey Numbers having coffee in possession of the applicant/applicants in respect of Karnataka.Copy of Land Possession Certificate issued from the competent Revenue authority (Atalji Kendra) / Central Record Center (CRC) along with RTCs for all Survey Numbers having multiple names in the RTCs of the applicant/applicants in respect of Kodagu District in Karnataka.Copy of Chitta & Adangal of the applicant/applicants in respect of Tamil Nadu.Copy of Land Possession Certificate of the applicant/applicants issued by the competent Revenue authority of Kerala. In case the applicant is a GPA holder, provide an attested copy of the registered GPA.Attested DocumentsAn attested copy of the Certificate issued by the accredited Certification Agency.Original invoice/bill towards the cost of certification/proof of payment of certification costs.Copy of the Bank Pass Book containing the details, such as the name of the account holder, account number, name of the bank, branch, IFSC code, etc., preferably Aadhaar seeded.In case the applicant is a GPA holder, provide an attested copy of the registered GPA.In case of SC/ST category grower applying individually, provide a caste/community certificate issued by the competent authority.",Development Support for Coffee in Traditional Areas: Eco-certification of Coffee
