Text,Image Link
"Agriculture,Rural & Environment",https://cdn.myscheme.in/images/categories/Agriculture.svg
"Banking,Financial Services and Insurance",https://cdn.myscheme.in/images/categories/Banking.svg
Business & Entrepreneurship,https://cdn.myscheme.in/images/categories/Business.svg
Education & Learning,https://cdn.myscheme.in/images/categories/Education.svg
Health & Wellness,https://cdn.myscheme.in/images/categories/Health.svg
Housing & Shelter,https://cdn.myscheme.in/images/categories/Housing.svg
"Public Safety,Law & Justice",https://cdn.myscheme.in/images/categories/Public%20Safety.svg
"Science, IT & Communications",https://cdn.myscheme.in/images/categories/Science.svg
Skills & Employment,https://cdn.myscheme.in/images/categories/Skills.svg
Social welfare & Empowerment,https://cdn.myscheme.in/images/categories/Social%20Welfare.svg
Sports & Culture,https://cdn.myscheme.in/images/categories/Sports.svg
Transport & Infrastructure,https://cdn.myscheme.in/images/categories/Transport.svg
Travel & Tourism,https://cdn.myscheme.in/images/categories/Travel.svg
Utility & Sanitation,https://cdn.myscheme.in/images/categories/Utility.svg
Women and Child,https://cdn.myscheme.in/images/categories/Women.svg
