scheme_link,details_text,eligibility_text
https://www.myscheme.gov.in/schemes/icdpsva-srgu,"The scheme ""Support for Value Addition - Support to R&G units"" is a Sub-Component of the Scheme ""Integrated Coffee Development Project"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry. This scheme aims to enhance the quality of coffee products and achieve value addition through the introduction of improved technologies in roasting, grinding, and packaging which will result in boosting domestic coffee consumption and entrepreneurship in the coffee sector, especially in the non-traditional areas.","Roasting Units, Gourmet roasting units 1Kg to <10Kg/batch, and small roasting units with a capacity of less than 25 kg capacity are eligible for subsidy support of 40% of the machinery cost with a ceiling of ₹10,00,000.For the SHGs, women entrepreneurs, SC/ ST, Minorities, and differently-abled beneficiaries, subsidy support is @50% of the machinery cost with a ceiling of ₹10,00,000.Support for gourmet roaster units would enable the roasting of specialized blends in smaller quantities. This may also help to encourage a large number of small players/ new entrepreneurs to take up this venture in non-traditional coffee-drinking areas.﻿Disbursement of subsidyThe subsidy shall be released to the applicant’s bank accountthrough PFMSin cases where the application is complete in all respects and only after approval of the post-installation inspection report submitted by the Coffee Quality Division, Coffee Board, Bengaluru."
https://www.myscheme.gov.in/schemes/anby,"Atma Nirbhar Bagwani Yojana is an umbrella scheme wherein all the schemes are subsumed under a bank linked credit subsidy scheme which will have a time bound implementation and participation from various stakeholders – Government, Bank, Project Consultants and Progressive Farmers. The beneficiaries under the scheme will be eligible for 45% subsidy from Government of Arunachal Pradesh, 45% bank finance and 10% beneficiaries contribution. The beneficiary will have to provide a collateral security in the shape of land/property or acceptable guarantee for loan amount exceeding 1.6 Lakhs in case of individual and 10 lakhs for SHGs/FPOs. Under this scheme, the following components are included for availing of bank loan:","Atmanirbhar Bagwani Yojna is basically meant for the cultivation of fruits like apples, walnut, orange, kiwi, and persimmon.﻿The line of credit will be provided by the State Bank Of India, Arunachal Pradesh Rural Bank, and Arunachal Pradesh Cooperative Apex Bank.45 percent will be given by the government subsidy, 45 percent as bank loan and 10 percent will be contributed by the farmer.There is no collateral for loans up to Rs 1.60 lakh.For SHGs, no collateral is needed up to Rs 10 lakhs."
https://www.myscheme.gov.in/schemes/ncrfs,"“Natural Calamity Relief to Fishermen of State” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, financial assistance is provided to the active fishermen who contribute to the Fishermen Corpus Relief Fund, whose fishing vessels are damaged or lost due to natural calamities. The applications are accepted only in offline mode.","Death/DisabilityLoss of Life/Total Disability While Fishing in Sea/River:₹5,00,000 in Case of Loss of Life/Total Disability on Production of the Required Documents.﻿Loss/Damage to Fishing CanoePartial Damage of Fishing Canoe:Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹1,00,000.Total Loss/Damage of Canoe With OBM:Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹2,00,000.﻿Loss/Damage to Fishing Vessel1 to 4-cylinder Fishing Vessel:Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹7,00,000.6 to 8-cylinder Fishing Vessel:Actual Value, as Assessed by an Authorized Marine Surveyor, is Limited to ₹10,00,000.﻿Loss/Damage to Fishing NetsGill Nets:Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹50,000/-Rampon Nets:Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹1,00,000/-Trawl Net:Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹50,000/-Purseine Net:Actual Value, as Assessed by Authorized Fisheries Surveyor or Marine Surveyor or Talathi, is Limited to ₹5,00,000/-"
https://www.myscheme.gov.in/schemes/fapllf,"“Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, financial assistance amounting to ₹50% is provided by the Government to eligible fishermen for the Purchase of Lifejackets and Lifebuoys. The applications are accepted only in offline mode.","The support is extended up to ₹1,000/- per lifejacket and ₹1,500/- per lifebuoy.For Canoe Fitted With OBM: 05 Life Jackets and 01 Lifebuoy.For Mechanised Trawlers Engaged in Trawling Operations: 08 Life Jackets and 02 Lifebuoys.For Mechanised Trawlers Engaged in Purse Seining Operation: 25 Life Jackets and 04 Lifebuoys."
https://www.myscheme.gov.in/schemes/cdpnerqucsecoc,"The scheme ""Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification"" is a Sub-Component of the Scheme ""Integrated Coffee Development Project During the Medium Term Framework (MTF) Period: Development Support to Stakeholders"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry. This scheme aims to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets through the production of eco-certified coffees. An allied objective of this scheme is to encourage small growers to form groups/collectives for taking up eco-certification that will facilitate the creation of common facilities in the future.","Scale of SubsidyFor Organic Certification:75% of the certification cost spread over 3 years or the Conversion period, whichever is less during the MTF period.For Other Eco-Certifications:75% of the certification cost for one year during the MTF period.NOTE:This incentive is provided only as backend support for those who obtain certification of their estates. However, in the case of organic certification, the costs incurred towards certification during in-conversion period are also eligible for support."
https://www.myscheme.gov.in/schemes/spfrpcvwnmpcn-faascdmf,"The scheme ""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" is a Sub-Component under the Umbrella Scheme ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" by the Department of Fisheries and Fishermen Welfare, Government of Puducherry. The scheme is introduced with the objective of increasing marine fish production by extending subsidies to the fishermen for the procurement of fiber-reinforced plastic vallam with nets.","50% subsidy subject to a maximum of ₹50,000 per unit in case of fibre-reinforced plastic catamaran and marine plywood canoe with nets, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy subject to a maximum of ₹1,00,000 per unit in case of fibre-reinforced plastic vallam with nets, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy subject to a maximum of ₹40,000 per unit in respect of wooden nava with net, linked to own finance/loan component from National Co-operative Development Corporation/bank.50% subsidy to a maximum of ₹5,000 per unit for the procurement of inland catamaran with nets (unit cost ₹10,000).*The rate of subsidy may be fixed by the Government from time to time."
https://www.myscheme.gov.in/schemes/fapcnfclt26ffiw,"“Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa” is a scheme by the Department of Fisheries, Government of Goa. The scheme has been introduced to uplift the sizeable community of traditional Fishermen, by providing them financial help in the form of a subsidy on the construction/ purchase of Fishing Craft less than 26 feet for fishing in inland waters of Goa. The applications are accepted only in offline mode.","For General Category50% subsidy, limited to ₹30,000, on a unit cost of ₹60,000 (excluding GST).For SC/ST/Woman Category60% subsidy, limited to ₹36,000, on a unit cost of ₹60,000 (excluding GST).NOTE:The benefits can be availed after every 7 years against the replacement of the existing Canoe."
https://www.myscheme.gov.in/schemes/indagff,"India-Afghanistan Fellowship Programme started in 2010-11 with 115 fellowships every year for pursuing Master's and Ph.D in Indian Agricultural Universities, to support the agricultural human resource development in Afghanistan through formal education of Afghanistan scientists/faculty and students in India. The programme has been revised to offer 276 fellowships (including backlog) (154, Bachelor's; 61, Master's and 61, Ph.D. programmes) from 2012-13; 277 fellowships (153, Bachelor's; 62, Master's and 62, Ph.D. programmes) in 2013-14 and 61 (Master's) in 2014-15 to pursue degree programmes in Agriculture and allied sciences in identified Indian Agricultural Universities (AUs), from Indian Council of Agricultural Research (ICAR) - Agricultural Universities (AUs) system..","Description of the Benefits*:A fellowship will be awarded to Bachelor's degree programme for four years and for the Master's degree programme for two years @ INR 12,000 per month in each case and at INR 15,000 per month for three years for Ph.D Programme, out of the India-Afghanistan Fund of the Ministry of External Affairs, Govt. of India. Any change in the Fellowship amount will be informed to the candidates.All expenditures towards tuition fee, hostel fee, mess, medical, contingency and travel within the country etc. during the course will be borne by the student utilizing the consolidated fellowship amount. However, a provision of a research contingency grant of INR 6,000 and P INR 10,000 per year for M.Sc. and Ph.D. candidates respectively and group insurance are under consideration.Annual charges of bench fee (US $2000 per candidate per year) as per SAARC countries shall be payable to the Indian AUs, and will be covered under the India-Afghanistan Fund.The fee structure for fellows will be as per the norms of the University.There is no provision to change the University, once admission is granted. However, the candidate can show his/her preferences at the time of submission of the Application form; the Screening Committee may consider the request, depending upon the availability of a seat in the respective University.﻿"
https://www.myscheme.gov.in/schemes/sspftws,"The scheme “Stipend Scheme for Poultry Farming Training for Weaker Section” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of poultry farmers by scientific poultry farming training. Under this scheme, the beneficiary will be given a maximum ₹2000 (direct in bank account) stipend for six days of training and a poultry training certificate after completion of training.","The beneficiary will be given maximum ₹2000 (direct in bank account) stipend for six days training. (Considering ₹300/- per day, ₹1800/- for 6 days as daily allowance and ₹200/- as to & fro transport fare with the maximum total stipend ₹2000/-)Beneficiary will be given poultry training certificate after completion of training."
https://www.myscheme.gov.in/schemes/dsctaecc,"The scheme ""Development Support for Coffee in Traditional Areas: Eco-certification of Coffee"" is a Sub-Component of the Scheme ""Integrated Coffee Development Project During the Medium Term Framework (MTF) Period: Development Support to Stakeholders"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry. The objective of this scheme is to encourage coffee growers to access high-value specialty markets through production of eco-certified coffees so as to realize higher returns by adhering to a set of standards which help in communication of quality, traceability, social, environmental and financial conditions surrounding the production of coffee.","Extent of Support/ SubsidyCertification Support:50% of the certification cost, subject to a maximum of ₹50,000 (Rupees 50,000) per individual grower/grower groups. In the case of Organic certification, spread over a period of 3 years or the conversion period, whichever is less; in the case of other certificates, one year, during the Mission for Integrated Development of Horticulture (MIDH) period.Additional Support for SC/ST Community:Individual coffee growers belonging to the Scheduled Caste/Scheduled Tribe (SC/ST) community with a coffee holding size of up to 4.00 hectares are eligible for an additional 10% of the certification cost, subject to a maximum of ₹55,000 (Rupees 55,000) per grower during the MIDH period."
