p_text,span_text,scheme_link
"Agriculture,Rural & Environment",Support for Value Addition - Support to R&G units,https://www.myscheme.gov.in/schemes/icdpsva-srgu
"Agriculture,Rural & Environment",Atma Nirbhar Bagwani Yojana,https://www.myscheme.gov.in/schemes/anby
"Agriculture,Rural & Environment",Natural Calamity Relief to Fishermen of State,https://www.myscheme.gov.in/schemes/ncrfs
"Agriculture,Rural & Environment",Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,https://www.myscheme.gov.in/schemes/fapllf
"Agriculture,Rural & Environment",Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,https://www.myscheme.gov.in/schemes/cdpnerqucsecoc
"Agriculture,Rural & Environment","""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/spfrpcvwnmpcn-faascdmf
"Agriculture,Rural & Environment",Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa,https://www.myscheme.gov.in/schemes/fapcnfclt26ffiw
"Agriculture,Rural & Environment",India Afghanistan Fellowship,https://www.myscheme.gov.in/schemes/indagff
"Agriculture,Rural & Environment",Stipend Scheme For Poultry Farming Training For Weaker Section,https://www.myscheme.gov.in/schemes/sspftws
"Agriculture,Rural & Environment",Development Support for Coffee in Traditional Areas: Eco-certification of Coffee,https://www.myscheme.gov.in/schemes/dsctaecc
"Banking,Financial Services and Insurance",Airavata Scheme,https://www.myscheme.gov.in/schemes/airavata
"Banking,Financial Services and Insurance",NSAP - Indira Gandhi National Old Age Pension Scheme,https://www.myscheme.gov.in/schemes/nsap-ignoaps
"Banking,Financial Services and Insurance",Jai Johar (Old Age Pension) Scheme,https://www.myscheme.gov.in/schemes/jjoaps
"Banking,Financial Services and Insurance",Indira Gandhi National Old Age Pension Scheme - Sikkim,https://www.myscheme.gov.in/schemes/ignoaps-sikkim
"Banking,Financial Services and Insurance",Indira Gandhi National Widow Pension Scheme,https://www.myscheme.gov.in/schemes/ignwps
"Banking,Financial Services and Insurance",Pradhan Mantri Jeevan Jyoti Bima Yojana,https://www.myscheme.gov.in/schemes/pmjjby
"Banking,Financial Services and Insurance",Chief Minister's Micro Finance Initiative,https://www.myscheme.gov.in/schemes/cmmfi
"Banking,Financial Services and Insurance",Atal Beemit Vyakti Kalyan Yojana,https://www.myscheme.gov.in/schemes/abvky
"Banking,Financial Services and Insurance",Scheme For Soft Loan To The Grant-in-aid/ Non-grant In Aid Institutions For Maintenance And Upgradation Of Infrastructure Facilities,https://www.myscheme.gov.in/schemes/sslgiangiaimuif
"Banking,Financial Services and Insurance",Prime Minister's Employment Generation Programme,https://www.myscheme.gov.in/schemes/pmegp
Business & Entrepreneurship,Jeevanam Self-Employment Scheme To Dependents Of Crime Victims,https://www.myscheme.gov.in/schemes/js-esdcv
Business & Entrepreneurship,Reimbursement of Stamp Duty and Registration Charges,https://www.myscheme.gov.in/schemes/rsdarc
Business & Entrepreneurship,Promotion of Energy Audit and Conservation of Energy (PEACE): Incentive for Implementing Energy Audit Recommendations,https://www.myscheme.gov.in/schemes/peaceifiear
Business & Entrepreneurship,Production Linked Incentive Scheme For Automobile And Auto Component Industry,https://www.myscheme.gov.in/schemes/plisaaci
Business & Entrepreneurship,Asangathit Karmakaar Silai Machine Sahayata Yojana,https://www.myscheme.gov.in/schemes/aksmsy
Business & Entrepreneurship,Biotechnology Ignition Grant Scheme,https://www.myscheme.gov.in/schemes/big
Business & Entrepreneurship,Aamar Dukan On Wheels,https://www.myscheme.gov.in/schemes/adow
Business & Entrepreneurship,Assistance Scheme for Handicraft Artisans,https://www.myscheme.gov.in/schemes/asha
Business & Entrepreneurship,E-Thela Sahaayata Yojana,https://www.myscheme.gov.in/schemes/etsy
